SaleID,CustomerID,WineDesignation,Quantity,SaleAmount,SaleDate
59,563,Prestige Collection Reserve,2,310.11,2023-08-18
60,1964,Tin Man,1,435.0,2023-11-06
61,1531,Limited Edition Selection,3,508.89,2022-08-21
62,3945,Private Reserve Estate,5,556.11,2022-07-18
63,1321,Vintage Collection,5,671.09,2022-08-02
64,3585,Founders Reserve,5,605.42,2024-04-16
65,4738,Master Selection Reserve,1,441.97,2024-02-26
66,3345,Family Estate,4,617.24,2023-05-08
67,2237,Master Selection Reserve,4,325.44,2023-01-08
68,3535,Estate Reserve Selection,2,600.98,2023-02-19
69,4268,Signature Series Estate,4,403.54,2022-10-07
70,381,Cellar Reserve Selection,2,393.83,2023-12-30
71,3974,Cyrano,4,391.8,2023-10-30
72,4182,Artisan Series Reserve,1,399.85,2022-09-21
73,4384,Family Estate Estate,4,604.96,2024-01-12
74,2069,Old Vine Selection,3,412.7,2023-11-03
75,3506,Estate Reserve,5,455.9,2024-01-27
76,4039,Classic Reserve Cuvée,1,390.31,2024-04-18
77,1193,Grand Cru Reserve,4,548.37,2022-07-29
78,1131,Noble Reserve Estate,4,501.79,2023-11-09
79,2852,Master Selection Estate,3,532.71,2023-05-21
80,1177,Premium Blend Cuvée,2,480.3,2023-08-26
81,3193,Sereole,5,299.19,2023-10-06
82,2466,Master Selection Selection,5,522.19,2022-10-18
83,1621,Heritage Collection Estate,2,515.8,2023-02-27
84,2870,Estate Reserve Estate,5,373.25,2024-05-11
85,1848,Founders Reserve Cuvée,5,464.09,2023-09-12
86,2679,Private Reserve Cuvée,3,512.16,2023-02-12
87,541,Prestige Collection Estate,1,462.2,2023-06-14
88,1038,La Grande Cuvée,2,315.16,2024-01-16
89,958,Barrel Selection Selection,5,634.71,2023-11-04
90,1932,Cellar Reserve,1,392.26,2022-09-07
91,452,Noble Reserve Cuvée,3,682.27,2022-08-22
92,4085,Lagniappe,5,367.95,2024-01-12
93,2294,Private Reserve Selection,4,363.91,2023-09-26
94,2883,Premium Blend Cuvée,5,528.68,2024-02-22
95,2502,Premium Blend Reserve,5,591.4,2024-03-01
96,2307,Single Vineyard Reserve,1,373.11,2023-11-07
97,1719,Heritage Collection Reserve,3,461.56,2024-01-27
98,1444,Heritage Collection Selection,4,490.1,2024-02-01
99,1152,Old Vine,2,517.96,2023-10-15
100,1595,Prestige Collection,2,531.9,2023-01-22
101,3202,Special Cuvée Reserve,3,354.84,2024-04-14
102,3512,Noble Reserve Cuvée,2,616.04,2022-12-08
103,955,Private Reserve Reserve,4,562.27,2023-02-15
104,1711,Enigma,2,357.47,2023-03-31
105,2024,Eroica,4,351.69,2024-02-16
106,544,Icon Wine,1,570.93,2023-07-12
107,2306,Grand Reserve Cuvée,5,383.84,2023-09-06
108,4677,Signature Series Cuvée,3,560.0,2023-03-20
109,1671,Split Oak Estates,1,453.08,2023-09-12
110,3607,Family Estate Cuvée,2,442.82,2022-07-31
111,1893,Beyond the Clouds,5,359.88,2023-08-13
112,1382,Signature Series Cuvée,2,383.54,2022-12-03
113,4834,Icon Wine Reserve,5,350.55,2023-03-31
114,626,Cuvée des Générations Gaston Philippe,1,371.54,2024-04-21
115,643,Grand Cru Selection,5,404.03,2024-02-11
116,678,Noble Reserve,1,418.39,2022-11-20
117,4701,Grand Cru Cuvée,2,540.66,2024-03-22
118,4630,Old Vine Estate,4,619.54,2024-04-18
119,4614,Founders Reserve,4,391.62,2022-11-26
120,3295,Limited Edition Selection,4,518.29,2024-02-01
121,1855,Incanto,3,355.65,2023-01-16
122,582,Grand Reserve Estate,3,578.82,2023-05-07
123,1725,Spirit Hawk,3,347.91,2024-03-30
124,675,Premium Blend Cuvée,2,444.34,2023-06-06
125,2693,Founders Reserve Estate,4,414.46,2022-10-01
126,1664,Prestige Collection Selection,5,437.6,2023-08-15
127,2131,Königsberg,5,327.04,2022-07-26
128,207,Vieilles Vignes de Cramant Grand Cru,5,361.56,2023-08-10
129,3094,Prestige Collection Cuvée,2,526.42,2023-05-22
130,4595,Master Selection Reserve,1,631.6,2022-10-28
131,1327,Barrel Selection Estate,4,334.32,2024-04-08
132,3792,The Ironstone Pressings,3,389.74,2023-04-25
133,1309,Grand Cru Estate,4,396.9,2022-08-25
134,3097,Monzinger Frühlingsplätzchen Trockenbeerenauslese,2,334.6,2022-12-07
135,4054,Icon Wine Estate,1,493.68,2023-07-30
136,1817,Special Cuvée Cuvée,1,634.52,2023-11-30
137,546,Old Vine Estate,4,434.92,2023-10-23
138,1623,Cellar Reserve Selection,4,485.48,2024-02-08
139,130,Grand Cru Estate,4,444.52,2022-07-29
140,4982,Premium Blend Estate,2,467.11,2022-09-08
141,3572,Noble Reserve Reserve,5,341.71,2023-01-05
142,990,Panorama Vineyard,3,372.97,2023-06-24
143,2928,Premium Blend Reserve,1,415.98,2023-03-14
144,3737,Grand Reserve Selection,1,378.11,2022-08-28
145,1548,Signature Series Estate,1,449.55,2023-07-16
146,3530,Cellar Reserve Cuvée,2,515.25,2023-02-15
147,291,Founders Reserve Cuvée,3,430.93,2023-02-24
148,3658,"33 Degrees North Gracie Hill Vineyard, Dalla Collina",2,341.32,2023-09-27
149,1816,Signature Series,1,495.63,2022-10-30
150,4687,Grand Reserve Reserve,4,503.55,2023-02-25
151,3755,Ried Pfaffenberg Steiner,4,413.03,2023-04-04
152,2618,Le Renard,3,313.41,2024-01-27
153,4232,Riven Rock Vineyard,3,418.4,2023-03-31
154,3012,Grand Reserve Selection,3,564.09,2023-04-28
155,1779,Sobra Red,1,341.36,2023-11-09
156,235,Master Selection,4,394.13,2023-09-30
157,313,Single Vineyard Reserve,1,394.93,2023-10-28
158,253,Private Reserve,4,497.1,2023-06-16
159,3822,Noble Reserve Cuvée,1,619.19,2023-11-15
160,3932,Single Vineyard Selection,2,547.27,2023-03-21
161,2548,Estate Reserve Cuvée,3,477.93,2023-07-31
162,2989,Limited Edition,4,519.08,2024-03-10
163,1319,Grand Cru Estate,5,470.51,2023-06-20
164,3880,Balifico,2,331.25,2022-10-25
165,4094,Château Selection Selection,3,533.06,2023-08-28
166,3074,Noble Reserve,1,517.08,2022-07-28
167,4692,Noble Reserve Reserve,2,438.72,2023-12-11
168,455,Family Estate,5,492.0,2024-04-14
169,1096,Earthquake,2,296.05,2023-11-29
170,4354,Private Reserve Estate,2,366.9,2024-03-18
171,3442,Premium Blend Reserve,3,694.79,2023-03-01
172,4974,Estate Reserve,5,626.68,2022-07-09
173,1423,Grand Reserve Cuvée,4,537.42,2024-05-26
174,805,Reserve Selection,3,346.13,2023-02-16
175,3848,Artisan Series Cuvée,5,341.09,2023-06-27
176,4768,Reserve Selection,2,508.24,2023-12-06
177,3295,Signature Series Reserve,4,357.31,2022-09-18
178,1437,Prestige Collection Estate,4,516.15,2022-09-12
179,4513,Special Cuvée Estate,1,564.84,2023-08-07
180,3138,Erasmo Late Harvest,3,414.77,2022-08-01
181,2996,Classic Reserve Cuvée,3,471.33,2023-09-07
182,3174,Classic Reserve Selection,2,519.55,2022-07-29
183,2125,Cornerstone,5,374.98,2023-06-15
184,923,Negru de Purcari,5,363.31,2022-10-18
185,3002,Classic Reserve Reserve,2,468.5,2023-05-19
186,48,Triple C Estate Bottled,5,329.48,2024-01-03
187,2560,Desert Gold Late Harvest,3,344.34,2023-08-01
188,3137,Limited Edition Reserve,3,405.18,2023-06-22
189,3459,Private Reserve Reserve,4,510.57,2024-05-19
190,4100,Master Selection Selection,3,456.78,2023-06-26
191,3478,Old Vine Selection,5,513.36,2022-11-13
192,364,Family Estate Estate,4,459.13,2022-07-21
193,301,Les Comtesses,3,393.96,2023-08-17
194,4028,Premium Blend Cuvée,3,410.78,2022-12-18
195,4616,Founders Reserve Selection,1,416.61,2024-01-21
196,2384,Single Vineyard,1,433.45,2023-10-26
197,4765,Icon Wine Reserve,2,450.97,2024-02-15
198,3743,Old Vine Reserve,2,380.44,2022-07-04
199,2864,Ca' del Solo Estate Vineyard,1,354.95,2023-10-03
200,538,Special Cuvée Cuvée,2,531.39,2023-04-19
201,1961,Barrel Selection,4,398.32,2023-02-21
202,2381,Private Reserve Estate,1,511.33,2024-05-05
203,4045,Premium Blend Reserve,5,752.58,2023-08-31
204,3520,Vintage Collection Estate,5,394.18,2023-08-22
205,3034,Prior Brut,4,373.13,2023-02-20
206,2105,Artisan Series Selection,1,388.25,2022-09-26
207,3282,Old Vine,4,379.49,2023-03-07
208,4716,Old Vine Estate,3,425.52,2022-07-18
209,4197,Estate Reserve Reserve,2,575.47,2023-04-22
210,217,Westwind,3,354.19,2023-02-15
211,971,Grand Reserve Reserve,2,158.93,2023-07-19
212,3770,Grand Reserve Selection,4,593.26,2022-10-19
213,1225,Premium Blend,1,695.68,2023-08-30
214,3329,Artisan Series,5,726.76,2023-11-16
215,1193,Limited Edition,3,545.92,2024-05-28
216,2343,Bianco Breg,2,421.44,2024-01-15
217,1362,Cellar Reserve,2,551.43,2023-08-18
218,4235,Special Cuvée Selection,5,684.97,2022-12-15
219,2428,Vintage Collection,4,385.75,2024-02-22
220,793,Signature Series,2,563.5,2023-03-24
221,718,Special Cuvée Estate,4,440.62,2024-01-25
222,4720,Château Selection Reserve,4,498.56,2023-11-26
223,1858,Founders Reserve Cuvée,2,558.38,2023-12-01
224,2861,Plácet,5,494.45,2023-07-07
225,3848,Whistling Ridge Vineyard,1,416.6,2023-05-06
226,1790,Grand Cru,5,353.23,2022-11-24
227,1618,Snowflake White Wine,4,383.16,2023-02-18
228,2564,Prestige Collection Reserve,3,514.96,2023-09-03
229,838,Estate Reserve Selection,4,476.98,2022-07-27
230,1542,Special Cuvée Selection,3,335.28,2023-04-28
231,2580,Icon Wine Selection,1,498.73,2023-02-08
232,1667,Castelgiocondo Lamaione,1,434.17,2023-07-26
233,1662,Mernet 30th Anniversary Reserve,4,342.95,2023-07-25
234,287,Classic Reserve Estate,4,355.73,2023-12-27
235,3940,Vintage Collection Estate,1,500.69,2024-01-16
236,3079,Château Selection Reserve,5,513.28,2022-09-01
237,448,Signature Series Reserve,4,421.01,2023-02-10
238,104,Estate Reserve Reserve,5,386.12,2023-05-18
239,2689,Premium Blend Selection,3,351.98,2022-10-22
240,1780,Master Selection Estate,5,341.39,2022-09-02
241,2542,Premium Blend Reserve,2,403.8,2023-01-08
242,1123,Old Vine Estate,3,576.89,2023-06-16
243,3504,Barrel Selection Cuvée,5,545.66,2024-05-11
244,3465,Estate Reserve Cuvée,3,485.48,2023-08-05
245,2689,Heritage Collection Selection,5,543.16,2022-08-05
246,2846,Limited Edition Estate,5,335.03,2024-03-11
247,2960,Master Selection,2,438.89,2024-01-07
248,4361,Fondo Filara,1,404.39,2024-02-24
249,4505,Private Reserve Reserve,3,667.33,2022-12-22
250,3507,Special Cuvée Estate,2,317.61,2023-09-15
251,356,Old Vine,1,546.05,2024-02-16
252,3348,Single Vineyard Reserve,4,489.29,2024-02-21
253,2280,Grand Reserve Estate,4,375.42,2022-10-14
254,3525,Premium Blend Cuvée,2,331.17,2023-02-22
255,1633,Tanner Vineyard,5,401.96,2024-02-07
256,4245,Family Estate,1,385.97,2023-03-21
257,838,Barrel Selection,1,452.28,2022-08-03
258,3758,Barrel Selection Cuvée,2,406.2,2022-07-14
259,68,Lot 423,1,369.56,2022-09-15
260,3278,Prestige Collection Cuvée,2,620.7,2022-08-17
261,1119,Mirlo Blanco,5,412.37,2022-10-04
262,160,Signature Series Cuvée,3,436.7,2022-11-28
263,988,Family Estate,1,466.09,2023-09-28
264,2010,Special Cuvée,4,514.22,2023-02-08
265,1510,Limited Edition Cuvée,3,490.8,2023-12-16
266,2025,Master Selection Reserve,5,495.9,2024-03-01
267,997,Cannon Block,3,392.79,2022-12-09
268,507,Family Estate,3,291.1,2022-07-17
269,4163,Grand Reserve Selection,4,380.6,2024-03-03
270,1668,Château Selection Selection,4,557.88,2023-07-22
271,67,Classic Reserve,4,353.82,2023-10-28
272,2892,Grand Cru Cuvée,4,511.52,2024-05-25
273,1880,La Madeleine de Saint-Mont,2,364.01,2022-09-25
274,3029,Premium Blend Cuvée,5,343.18,2023-08-03
275,694,Windacre,1,334.8,2023-01-18
276,3848,Barrel Selection Cuvée,3,359.01,2022-08-22
277,4589,Master Selection Selection,4,442.41,2024-01-16
278,4755,Barrel Selection Estate,5,378.52,2023-08-09
279,4068,Special Cuvée Estate,3,550.12,2023-02-24
280,818,Icon Wine Estate,4,311.51,2022-08-05
281,1578,Master Selection,4,476.05,2023-06-18
282,2001,Reserve Selection,2,407.73,2023-12-18
283,3133,Gaiun Martinenga,1,346.02,2023-04-22
284,3027,Privat Bruant Organic,4,386.93,2023-04-15
285,4965,Private Reserve Selection,5,572.82,2022-09-09
286,1119,Heritage Collection Estate,5,404.42,2024-03-07
287,3191,Wallula Vineyard,1,430.77,2023-06-14
288,3311,Vintage Collection,5,556.71,2023-08-07
289,1464,Cellar Reserve Reserve,4,495.05,2023-05-19
290,4664,La Porfia Gran Reserve,1,401.07,2022-10-08
291,4514,Château Selection Estate,3,474.2,2023-11-26
292,3870,Limited Edition Selection,1,365.33,2022-07-24
293,2332,Founders Reserve Estate,1,422.96,2024-05-20
294,2845,Arrastre,2,330.86,2023-11-30
295,1000,Grand Cru Cuvée,4,632.1,2024-03-25
296,3383,Estate Reserve Cuvée,5,416.18,2024-04-27
297,4831,Camparó,2,359.23,2024-03-19
298,4271,Reserve Selection,4,571.98,2024-01-06
299,1575,Reserve Selection Cuvée,1,430.75,2022-09-23
300,1334,La Bestia Klipsun Vineyard,1,345.11,2023-04-26
301,2336,La Mère Grand,3,394.73,2023-12-15
302,4127,Master Selection Selection,2,444.45,2023-03-02
303,90,Birdie,2,357.21,2023-12-26
304,1883,Premium Blend Cuvée,1,329.26,2023-06-29
305,2317,Château Selection Selection,3,437.45,2023-11-04
306,92,Terra Del Cuore,2,443.29,2023-09-24
307,395,Noble Reserve Cuvée,2,405.67,2023-08-16
308,3692,Fay,3,405.52,2022-07-15
309,2211,Grand Cru Estate,5,327.89,2023-12-24
310,2785,Artisan Series Cuvée,3,362.72,2024-02-14
311,1214,Grand Cru Reserve,1,610.91,2022-08-19
312,346,Contour 4 Sangiovese-Shiraz,4,470.46,2022-11-19
313,1229,Premium Blend Estate,2,574.11,2022-10-05
314,718,Prestige Collection Cuvée,1,448.04,2024-04-09
315,167,Private Reserve Estate,1,337.4,2022-10-11
316,1407,Höfen,3,335.87,2024-04-02
317,3296,Reserve Selection,1,486.15,2023-03-04
318,60,Cellar Reserve,5,477.72,2022-08-12
319,3832,Reserve Selection Cuvée,4,743.33,2023-06-20
320,464,Prestige Collection Estate,5,394.12,2022-12-27
321,2027,Private Reserve Reserve,3,702.51,2023-11-01
322,593,Family Estate Estate,3,452.37,2024-04-15
323,3279,Family Estate Estate,3,626.28,2022-10-06
324,108,Master Selection,5,584.04,2023-09-30
325,1685,Noble Reserve Estate,3,355.56,2023-08-04
326,2210,Artisan Series,2,406.98,2024-05-14
327,1658,Heritage Collection Cuvée,3,370.86,2022-10-04
328,2670,Limited Edition,3,557.24,2024-02-17
329,4091,Grand Cru Cuvée,5,321.63,2024-01-08
330,3786,Master Selection Estate,1,450.6,2023-07-26
331,2327,Estate Reserve,3,296.47,2023-04-08
332,4201,Château Selection Selection,5,407.74,2023-03-18
333,4008,Grand Reserve Selection,1,454.63,2022-11-17
334,1614,Founders Reserve Estate,2,352.56,2023-05-29
335,509,Reserve Selection Reserve,5,587.25,2022-12-12
336,1824,Cellar Reserve Selection,5,332.55,2023-11-21
337,2954,Estate Reserve Estate,2,538.82,2023-04-07
338,4251,Old Vine Estate,5,398.27,2023-02-17
339,1264,Château Selection,1,383.37,2022-07-15
340,1688,Vintage Collection Reserve,1,588.59,2022-09-20
341,2573,Signature Series Estate,5,449.29,2023-01-31
342,2974,Heritage Series,4,419.93,2023-02-25
343,861,Cellar Reserve Estate,2,515.84,2023-09-16
344,1429,Piesporter QbA,4,349.57,2023-04-17
345,4807,Rosemary's Vineyard,2,437.89,2023-09-02
346,2708,Prestige Collection Cuvée,4,393.13,2023-01-29
347,331,Prestige Collection,3,535.85,2024-04-27
348,246,Icon Wine Reserve,4,596.82,2023-03-20
349,1048,Estate Reserve,1,375.71,2022-12-23
350,830,Camparó,2,378.15,2022-08-29
351,3162,Grand Reserve Cuvée,5,677.73,2022-12-15
352,210,Private Reserve Cuvée,2,353.22,2022-09-29
353,1574,Classic Reserve Reserve,1,296.6,2023-12-29
354,3286,Artisan Series,5,587.38,2023-02-23
355,4288,Prestige Collection Cuvée,1,421.95,2024-02-01
356,1167,Notre Dame des Champs,5,330.51,2024-04-06
357,504,Boccadirosa,3,462.9,2023-06-17
358,3369,Signature Series,4,648.94,2022-11-04
359,1109,Icon Wine,5,616.96,2023-12-05
360,3464,Limited Edition Reserve,3,339.42,2023-02-21
361,3417,Founders Reserve Selection,3,323.02,2023-02-12
362,4838,Premium Blend Cuvée,1,518.9,2022-09-15
363,1325,Old Vine Estate,2,614.39,2023-05-18
364,3435,Private Reserve,3,507.93,2022-07-31
365,2918,Amontillado Los Arcos Dry,5,357.91,2022-09-27
366,692,Riserva Grandi Annate,2,376.22,2022-07-09
367,3317,Special Cuvée,5,461.47,2023-02-21
368,3393,Premium Blend Reserve,4,275.94,2023-03-28
369,1131,Unterebner,5,450.16,2022-12-05
370,334,Single Vineyard Selection Vyborny Vineyard,1,412.19,2023-03-05
371,1567,Noble Reserve Reserve,1,597.14,2022-09-07
372,4751,Hunt & Gather,3,364.4,2023-01-21
373,1870,Maria Teresa,1,372.46,2023-04-11
374,2075,Old Vine Selection,5,527.23,2022-08-08
375,4236,Signature Series Estate,1,333.9,2023-09-15
376,4985,Master Selection Selection,1,420.88,2024-01-17
377,2673,Three Corner,2,436.34,2022-12-05
378,2002,Grand Reserve,2,433.11,2023-09-19
379,2448,Private Reserve Selection,3,384.29,2023-01-12
380,4959,Artisan Series,2,486.3,2023-02-16
381,1836,Artisan Series,1,434.08,2023-02-27
382,4531,Méthode Champenoise Brut,3,344.05,2023-11-18
383,2777,Founders Reserve Estate,3,471.19,2024-02-03
384,2474,Family Estate Reserve,2,494.16,2024-01-13
385,1521,Classic Reserve,3,490.61,2023-05-04
386,4119,Barrel Selection Selection,4,660.54,2023-10-17
387,3586,Heritage Collection,2,381.89,2023-01-28
388,3019,Limited Edition Cuvée,4,488.84,2023-07-15
389,4303,Sierra Bella-Chicago Park,3,453.96,2022-08-02
390,3813,Master Selection Reserve,1,417.38,2022-07-09
391,2839,Prestige Collection,5,343.17,2023-04-30
392,3512,Barrel Selection Estate,1,452.73,2023-06-06
393,465,Reserve Selection Estate,1,476.26,2024-05-25
394,463,Signature Series Cuvée,3,555.97,2022-07-22
395,3439,Premium Blend Reserve,1,388.64,2022-10-27
396,2543,The Deep Six,4,436.47,2023-05-08
397,4371,Private Reserve,3,422.97,2023-01-13
398,2749,Cellar Reserve Selection,1,666.21,2024-04-30
399,1578,Clos du Papillon,5,374.38,2023-11-12
400,2749,Grand Cru Cuvée,2,514.49,2023-12-05
401,1883,Premium Blend Selection,4,538.84,2023-04-24
402,872,Limited Edition Cuvée,5,470.66,2023-03-13
403,2075,Solèr,4,409.65,2023-09-11
404,683,Artisan Series Reserve,3,424.84,2023-05-05
405,2140,Andrews Vineyard,4,375.68,2024-05-14
406,4120,Classic Reserve Reserve,2,576.54,2024-03-08
407,2211,Grand Cru Selection,3,448.03,2022-09-18
408,4882,Prestige Collection,4,472.36,2023-09-04
409,325,Vintage Collection Selection,2,466.73,2024-01-24
410,4342,6 meses en barrica,5,373.71,2022-12-24
411,4852,Classic Reserve Estate,4,640.26,2024-02-01
412,4564,Barrel Selection Cuvée,4,554.87,2023-01-05
413,1639,Single Vineyard Estate,4,631.99,2022-07-12
414,2851,Lot 13 Vineyard,5,349.36,2024-04-14
415,1379,Estate Reserve,1,487.23,2024-02-16
416,4778,Vintage Collection Cuvée,2,470.35,2023-09-24
417,1650,Château Selection Cuvée,1,534.94,2023-12-18
418,1424,Premium Blend,5,449.68,2024-04-14
419,4896,Family Estate,1,315.86,2022-09-02
420,3961,Signature Series Cuvée,2,554.65,2023-03-04
421,1426,Grand Cru,5,398.6,2023-02-16
422,1940,Special Cuvée Cuvée,1,538.4,2023-07-15
423,389,Prestige Collection Selection,1,328.14,2024-01-26
424,1597,Old Vine,4,363.02,2022-08-30
425,19,Grand Reserve Reserve,4,382.52,2024-02-22
426,2887,Château Selection Selection,1,340.55,2024-05-23
427,2192,Special Cuvée Estate,2,548.79,2023-05-07
428,2408,Grand Reserve Reserve,4,327.74,2022-12-03
429,4332,Brigita Clone 777,1,398.81,2024-01-31
430,4855,Reserve Selection Selection,3,506.53,2023-05-04
431,1011,Plakota Dry Red Wine,5,408.07,2024-05-10
432,232,Prestige Collection Cuvée,2,622.16,2024-05-22
433,3872,Artisan Series Estate,5,407.94,2024-03-19
434,670,Barrel Selection Cuvée,4,571.89,2023-10-31
435,3984,Amanzio,1,420.57,2023-10-16
436,4278,Artisan Series Estate,2,576.74,2023-04-25
437,3745,Reserve Selection Cuvée,4,317.65,2023-07-20
438,1997,1 er Cru Charmes,3,439.64,2022-07-22
439,940,Limited Edition Cuvée,2,599.43,2023-03-14
440,3911,Barrel Selection Selection,1,338.09,2023-04-01
441,2037,Rocca Alata,4,347.39,2023-01-06
442,3765,Special Cuvée Reserve,1,380.55,2023-06-16
443,1447,Barrel Selection Cuvée,4,439.86,2023-01-27
444,4269,Grand Reserve Reserve,2,356.75,2022-10-31
445,1370,Private Reserve Cuvée,5,428.39,2022-07-24
446,1135,Limited Edition Cuvée,3,530.44,2022-07-06
447,2749,Private Reserve Estate,2,567.57,2023-03-08
448,1098,Barrel Selection,1,500.75,2023-02-01
449,4628,Villa Puccini,4,336.66,2022-10-01
450,2845,Barrel Selection Selection,2,604.21,2024-03-20
451,1270,Signature Series,2,366.51,2023-08-18
452,3608,Old Vine Estate,4,430.15,2024-03-20
453,1633,Heritage Collection Cuvée,1,368.81,2022-08-04
454,624,Barrel Selection Reserve,2,347.97,2023-06-01
455,1408,Old Vine Reserve,2,536.05,2024-03-15
456,1561,Piana dei Cembali,4,370.44,2022-07-07
457,1232,Vintage Collection Cuvée,5,441.79,2023-12-18
458,1686,The Soloist,1,401.14,2023-04-08
459,3729,Family Estate,3,577.42,2022-09-18
460,4283,Prestige Collection Reserve,1,466.31,2022-07-06
461,3572,Founders Reserve Estate,3,480.19,2022-08-13
462,3032,Noble Reserve Reserve,4,528.95,2022-07-18
463,1816,Reserve Selection Reserve,1,224.87,2023-05-31
464,2435,Single Vineyard Cuvée,5,519.37,2024-04-26
465,3076,Aniceto Reserve,5,316.0,2023-04-04
466,1215,Barrel Selection Selection,5,326.59,2023-06-28
467,1032,Château Selection Estate,1,480.29,2024-05-24
468,2968,Swingsville,4,388.34,2024-03-05
469,4851,Private Reserve Selection,2,473.65,2023-11-18
470,4111,Cellar Reserve Cuvée,3,369.51,2022-10-28
471,2025,Signature Series Cuvée,5,531.52,2022-12-01
472,377,Family Estate,1,551.94,2024-01-18
473,633,Family Estate Estate,4,434.94,2023-03-08
474,46,Estate Late Harvest White,2,384.4,2022-11-17
475,3611,Old Vine Estate,3,352.1,2023-06-22
476,2386,Vintage Collection Selection,5,407.04,2024-01-17
477,2170,Master Selection Reserve,3,330.93,2023-09-01
478,3211,Noble Reserve,1,411.21,2022-07-21
479,4383,Heritage Collection Selection,3,450.32,2022-07-19
480,995,Family Estate,2,485.24,2023-03-08
481,3863,Old Vine Cuvée,4,507.01,2023-08-27
482,3877,Crazy Creek Vineyard,2,355.5,2023-10-12
483,2157,Special Cuvée Estate,1,438.95,2022-07-13
484,4113,Classic Reserve Selection,1,472.76,2022-08-22
485,3719,Estate Reserve Reserve,1,292.68,2022-10-24
486,3917,Private Reserve Estate,5,337.12,2023-04-25
487,1143,Private Reserve,1,642.88,2024-03-17
488,3228,Private Reserve Reserve,4,422.67,2023-08-30
489,3130,Estate Reserve,3,562.77,2023-03-16
490,2798,Master Selection Reserve,2,339.46,2023-09-09
491,240,Hidden Horse,1,358.65,2023-02-05
492,4907,Classic Reserve Cuvée,4,422.26,2023-04-28
493,4485,Filiria,5,396.62,2024-05-03
494,3421,Château Selection Estate,2,506.68,2022-12-21
495,3409,Quarry Butte Red Table Wine,1,383.71,2022-11-21
496,1327,Vintage Collection,1,375.06,2022-09-01
