WineID,WineDesignation,Category,CountryOfOrigin,Region,GrapeVariety,Year,AlcoholPercentage,BottleSize,PriceRange
43,Cellar Reserve,Dessert,Bulgaria,Danube Plain,Fetească Neagră,2007,11.0,0.75L,High
44,Gatekeeper - Rio Vista Vineyard,White,Spain,Rioja,Fetească Neagră,2015,14.1,1.5L,Medium
45,Limited Edition Estate,White,New Zealand,Waipara,Syrah,2015,13.4,0.75L,Premium
46,Terase Danubiane Prince Mircea Gran Riserva,Dessert,USA,Sonoma,Malbec,2017,12.9,0.75L,Low
47,Grand Cru Cuvée,White,South Africa,Constantia,Tempranillo,2012,13.3,1L,Low
48,Signature Series,Red,South Africa,Paarl,Syrah,2018,11.7,1.5L,Medium
49,Georgetown Divide,Dessert,Romania,Cotnari,Malbec,2001,14.9,0.75L,Medium
50,Estate Reserve Estate,Sparkling,South Africa,Paarl,Tempranillo,2015,13.7,1.5L,High
51,Artisan Series Selection,Red,Slovenia,Podravje,Sauvignon Blanc,2021,15.4,0.75L,High
52,The Sticks & Stones Tempranillo-Grenache-Tintacao-Souzao,Rosé,Argentina,Mendoza,Riesling,2011,14.8,0.75L,Medium
53,La Source de Vignelaure,Rosé,Italy,Piedmont,Riesling,2022,13.5,1L,Medium
54,Estate Reserve Reserve,Sparkling,South Africa,Swartland,Pinot Noir,2019,13.5,0.75L,High
55,Limited Edition Estate,Rosé,Canada,British Columbia,Syrah,2016,12.7,0.75L,Low
56,Single Vineyard Cuvée,Dessert,South Africa,Constantia,Malbec,2022,14.0,0.75L,Medium
57,Kabinett Halbtrocken,Red,Romania,Dealu Mare,Merlot,2013,12.6,1.5L,High
58,Reserve White Blend,White,Romania,Dealu Mare,Cabernet Sauvignon,2006,14.4,1.5L,Medium
59,Founders Reserve Reserve,Dessert,South Africa,Stellenbosch,Fetească Neagră,2023,15.1,1.5L,Low
60,Château Selection Reserve,White,Hungary,Tokaj,Malbec,2023,11.7,1L,High
61,Cellar Reserve Cuvée,Dessert,South Africa,Stellenbosch,Merlot,2023,14.1,0.75L,Premium
62,Single Vineyard Cuvée,Dessert,Uruguay,Montevideo,Merlot,2022,12.2,1.5L,Medium
63,Premium Blend Selection,Sparkling,South Africa,Stellenbosch,Cabernet Sauvignon,2021,13.1,0.75L,Medium
64,Grand Reserve Selection,White,Austria,Kremstal,Cabernet Sauvignon,2016,13.8,1L,Medium
65,Artisan Series Reserve,Red,Lebanon,Bekaa Valley,Fetească Neagră,2012,11.7,1L,Medium
66,Grand Reserve Selection,Red,New Zealand,Marlborough,Fetească Neagră,2023,14.4,0.75L,High
67,Ockfener Bockstein Spatlëse,Sparkling,Italy,Tuscany,Tempranillo,2004,12.4,0.75L,Premium
68,Private Reserve Reserve,Dessert,South Africa,Paarl,Riesling,2000,12.5,1L,High
69,Single Vineyard Reserve,White,Israel,Judean Hills,Riesling,2001,14.8,1.5L,High
70,Special Cuvée,Red,Uruguay,Montevideo,Sauvignon Blanc,2015,14.3,1.5L,Medium
71,Grand Cru Selection,White,New Zealand,Waipara,Fetească Neagră,2021,11.1,1.5L,Premium
72,Estate Reserve Selection,Dessert,Austria,Burgenland,Tempranillo,2014,14.3,1L,Low
73,Reserve Selection,Dessert,South Africa,Stellenbosch,Sauvignon Blanc,2006,13.6,0.75L,High
74,Vega Montán,White,Argentina,Salta,Chardonnay,2008,12.6,1.5L,High
75,Barrel Selection,Dessert,Lebanon,Mount Lebanon,Fetească Neagră,2022,13.3,0.75L,Medium
76,Master Selection Estate,Dessert,Canada,Niagara Peninsula,Merlot,2009,13.7,1L,Premium
77,Beaune Grèves Premier Cru Vigne de l'Enfant Jésus,Red,Chile,Casablanca Valley,Syrah,2014,14.6,0.75L,Low
78,Castello di Monna Lisa Riserva,Dessert,Spain,Catalonia,Fetească Neagră,2015,13.6,1L,Premium
79,Ocean's Ghost,Sparkling,USA,Napa Valley,Syrah,2004,12.0,0.75L,Medium
80,Grand Cru Cuvée,Rosé,Hungary,Villány,Cabernet Sauvignon,2007,14.9,0.75L,Premium
81,The Messenger,White,France,Champagne,Merlot,2020,14.4,1L,Low
82,Noble Reserve Selection,Sparkling,South Africa,Swartland,Pinot Noir,2021,12.4,1.5L,Low
83,Kevin Arnold,Sparkling,Spain,Catalonia,Sauvignon Blanc,2013,14.7,1L,Low
84,Premium Blend Estate,White,Austria,Kamptal,Chardonnay,2010,11.9,1L,Low
85,Private Reserve Cuvée,Sparkling,New Zealand,Central Otago,Merlot,2014,14.5,1.5L,High
86,Château Coustaut la Grangeotte,Sparkling,Germany,Rheingau,Cabernet Sauvignon,2004,12.6,0.75L,Medium
87,Quadraphonic D'Anbino Vineyard,Red,Germany,Mosel,Pinot Noir,2020,12.3,1L,High
88,Heritage Collection Reserve,Rosé,New Zealand,Central Otago,Malbec,2003,14.1,1.5L,High
89,Estate Reserve Selection,Red,New Zealand,Hawke's Bay,Malbec,2005,14.8,1.5L,High
90,Chuy,Red,Italy,Piedmont,Pinot Noir,2009,11.7,1L,Premium
91,Old Vine Selection,Rosé,Greece,Naoussa,Sauvignon Blanc,2019,12.0,1L,Medium
92,Château Selection Estate,Red,Turkey,Aegean,Tempranillo,2003,11.4,1.5L,High
93,Founders Reserve,Dessert,New Zealand,Hawke's Bay,Malbec,2020,12.4,1L,Medium
94,Signature Series Reserve,Dessert,South Africa,Swartland,Cabernet Sauvignon,2012,11.9,1.5L,Low
95,Colheita Tawny,Rosé,Spain,Catalonia,Tempranillo,2021,13.0,1L,High
96,Estate Reserve Cuvée,Rosé,Austria,Wachau,Riesling,2015,13.0,1.5L,Premium
97,Old Vine,Sparkling,Mexico,Coahuila,Pinot Noir,2009,14.7,1L,High
98,Old Vine Selection,Dessert,South Africa,Paarl,Sauvignon Blanc,2017,11.2,1L,High
99,Bernkasteler alte Badstube am Doctorberg Trockenbeerenauslese - 375 ml,Red,Chile,Maipo Valley,Syrah,2003,12.7,1L,Medium
100,Heritage Collection Selection,Sparkling,Croatia,Istria,Merlot,2019,14.4,1L,Medium
101,Premium Blend Cuvée,Dessert,South Africa,Paarl,Cabernet Sauvignon,2023,13.2,1L,Low
102,Filiria,Red,Chile,Casablanca Valley,Riesling,2012,14.3,1L,Medium
103,Brandlin Vineyard,Dessert,Italy,Piedmont,Fetească Neagră,2009,12.2,1.5L,Medium
104,Special Cuvée Estate,Sparkling,New Zealand,Marlborough,Merlot,2019,14.6,1L,Premium
105,Nimbus Estate,Sparkling,Romania,Cotnari,Malbec,2002,12.3,0.75L,Medium
106,Late Harverst,Sparkling,Romania,Dealu Mare,Cabernet Sauvignon,2001,11.6,1L,Premium
107,Signature Series Reserve,White,Hungary,Szekszárd,Pinot Noir,2012,11.9,1L,High
108,Cellar Reserve Selection,Dessert,New Zealand,Waipara,Chardonnay,2017,14.7,0.75L,Low
109,Premium Blend Selection,Sparkling,Canada,Niagara Peninsula,Fetească Neagră,2001,12.3,1.5L,Low
110,Special Cuvée Estate,Sparkling,Hungary,Villány,Pinot Noir,2018,12.1,1.5L,Low
111,Cuvée Vieilles Vignes Primeur,Dessert,Australia,Hunter Valley,Riesling,2013,12.8,1.5L,Medium
112,Heritage Collection Estate,Sparkling,Canada,British Columbia,Sauvignon Blanc,2001,13.3,1.5L,High
113,Les Hauts du Fief,Red,Chile,Maipo Valley,Syrah,2007,14.4,0.75L,Premium
114,Heritage Collection Reserve,Red,Israel,Galilee,Riesling,2003,12.1,1.5L,High
115,Founders Reserve Estate,Dessert,Mexico,Valle de Guadalupe,Riesling,2011,13.0,0.75L,Medium
116,Château Selection Cuvée,Red,Croatia,Dalmatia,Cabernet Sauvignon,2007,12.4,0.75L,Low
117,Grand Cru,Sparkling,Greece,Crete,Sauvignon Blanc,2021,13.5,0.75L,High
118,Noble Reserve Selection,Red,New Zealand,Central Otago,Riesling,2005,11.1,1L,Premium
119,Barrel Selection Selection,White,New Zealand,Central Otago,Chardonnay,2022,11.8,0.75L,Medium
120,Limited Edition Reserve,White,South Africa,Paarl,Merlot,2013,12.4,1L,Low
121,Single Vineyard Reserve,Sparkling,Lebanon,Mount Lebanon,Chardonnay,2021,15.2,0.75L,Premium
122,Cellar Reserve Cuvée,Dessert,Hungary,Szekszárd,Pinot Noir,2014,14.4,1L,High
123,Family Estate Selection,Dessert,New Zealand,Marlborough,Cabernet Sauvignon,2014,11.1,1L,Medium
124,Estate Reserve Selection,Red,New Zealand,Marlborough,Tempranillo,2018,12.7,0.75L,Medium
125,Signature Series Cuvée,Red,Hungary,Tokaj,Cabernet Sauvignon,2011,13.9,0.75L,Low
126,Classic Reserve Estate,White,Mexico,Valle de Guadalupe,Chardonnay,2016,12.7,1.5L,Low
127,Premium Blend Estate,Rosé,Austria,Kremstal,Cabernet Sauvignon,2009,13.2,1.5L,Medium
128,Signature Series Estate,White,Israel,Judean Hills,Cabernet Sauvignon,2013,11.5,1.5L,High
129,Blauer Trocken,Rosé,Australia,Hunter Valley,Syrah,2009,12.5,0.75L,Low
130,Founders Reserve Cuvée,White,Austria,Wachau,Merlot,2018,14.3,1.5L,Premium
131,Kemp Vineyard Folded Rock,Red,Romania,Cotnari,Chardonnay,2010,14.1,1L,Low
132,Brut Sekt,Red,Italy,Veneto,Merlot,2003,13.2,1.5L,Low
133,Classic Reserve Selection,Dessert,Israel,Negev,Pinot Noir,2006,14.4,0.75L,Medium
134,Messias Selection,Red,Portugal,Douro,Fetească Neagră,2015,12.1,1.5L,Medium
135,Prestige Collection,Dessert,Greece,Santorini,Malbec,2015,14.1,1.5L,Medium
136,Barrel Selection Reserve,Red,Canada,British Columbia,Sauvignon Blanc,2013,14.8,1.5L,Premium
137,Single Vineyard Reserve,Rosé,Austria,Kamptal,Malbec,2005,13.7,0.75L,High
138,Barrel Selection Reserve,Red,South Africa,Stellenbosch,Tempranillo,2014,14.4,1L,High
139,Noble Reserve Estate,White,South Africa,Stellenbosch,Malbec,2012,13.2,0.75L,Medium
140,Siccagno,Dessert,Spain,Catalonia,Sauvignon Blanc,2000,11.5,0.75L,Low
141,Riserva Ducale Oro,Red,Australia,Hunter Valley,Fetească Neagră,2016,12.7,1.5L,Premium
142,Les Brunettes et Planchots,Red,France,Provence,Pinot Noir,2019,14.8,0.75L,High
143,Grand Reserve Reserve,White,South Africa,Constantia,Sauvignon Blanc,2005,14.2,0.75L,Low
144,L'iris,Red,Romania,Murfatlar,Tempranillo,2018,15.1,1.5L,Premium
145,Premium Blend Cuvée,Dessert,Austria,Kamptal,Syrah,2022,15.1,0.75L,Premium
146,Tros de Clos,White,Chile,Casablanca Valley,Merlot,2011,11.2,1L,Premium
147,Pinteivera,Dessert,USA,Sonoma,Chardonnay,2000,11.9,1L,Low
148,Desvario,Sparkling,France,Champagne,Cabernet Sauvignon,2010,13.9,1L,High
149,Diamante,Red,Portugal,Douro,Pinot Noir,2007,14.5,0.75L,Low
150,Celebris Brut,Dessert,Italy,Sicily,Sauvignon Blanc,2013,14.7,0.75L,Low
151,Family Estate Cuvée,Red,New Zealand,Hawke's Bay,Merlot,2005,11.3,1.5L,Low
152,Icon Wine Reserve,White,Greece,Naoussa,Merlot,2023,13.2,0.75L,Low
153,Torre Albéniz Reserva,Dessert,Germany,Mosel,Sauvignon Blanc,2003,12.7,0.75L,Premium
154,Bisamberg-Wien,Rosé,France,Bordeaux,Chardonnay,2020,13.9,1.5L,Premium
155,Twenty-Six Barrels Mayacamas Range,White,Argentina,Mendoza,Riesling,2018,15.4,0.75L,High
156,Family Estate,Red,New Zealand,Waipara,Chardonnay,2016,13.7,0.75L,Premium
157,Black Label 32nd Vintage,Red,Portugal,Alentejo,Sauvignon Blanc,2006,11.1,1L,Low
158,Founders Reserve Cuvée,Dessert,Israel,Judean Hills,Pinot Noir,2005,12.6,1.5L,Low
159,Bird House Red,Red,Romania,Dealu Mare,Riesling,2016,13.6,1L,Low
160,Leston,Sparkling,Argentina,Salta,Tempranillo,2019,11.6,1.5L,Medium
161,Spellonu Red,Red,Australia,Barossa Valley,Tempranillo,2009,11.8,0.75L,Premium
162,Founders Reserve Estate,Dessert,Croatia,Istria,Riesling,2020,14.0,1L,Low
163,Master Selection Selection,Dessert,South Africa,Constantia,Riesling,2002,12.7,1L,Medium
164,Noble Reserve,Red,South Africa,Paarl,Merlot,2012,13.6,0.75L,High
165,Grand Reserve,Rosé,New Zealand,Central Otago,Syrah,2015,11.3,0.75L,Premium
166,Old Vine Cuvée,Sparkling,Israel,Judean Hills,Sauvignon Blanc,2021,11.8,1L,Low
167,Signature Series Reserve,White,New Zealand,Central Otago,Riesling,2008,14.0,1L,Premium
168,Is Solinas,Red,Portugal,Douro,Riesling,2006,13.4,1L,Low
169,Panorama Vineyard,Red,France,Provence,Cabernet Sauvignon,2009,13.1,1L,Medium
170,Prestige Collection Reserve,Dessert,New Zealand,Hawke's Bay,Cabernet Sauvignon,2022,13.5,1.5L,Medium
171,Biesjes Craal,Dessert,USA,Oregon,Merlot,2017,14.4,0.75L,Premium
172,Single Vineyard,White,New Zealand,Waipara,Merlot,2023,14.1,0.75L,Low
173,Mas Suau Brut Rosé,Sparkling,Argentina,Salta,Cabernet Sauvignon,2018,12.1,1.5L,Medium
174,Silex,Rosé,Romania,Cotnari,Syrah,2000,12.2,1L,Low
175,Reserve Selection Selection,Sparkling,New Zealand,Central Otago,Cabernet Sauvignon,2018,13.9,1L,Premium
176,Classic Reserve Cuvée,Rosé,Hungary,Villány,Syrah,2003,13.0,0.75L,Low
177,Enosi,White,Italy,Sicily,Malbec,2013,15.5,0.75L,Low
178,Barrel Selection Reserve,Dessert,Slovenia,Podravje,Syrah,2014,13.4,1L,High
179,Clos du Papillon,White,USA,Sonoma,Sauvignon Blanc,2011,11.9,1.5L,Low
180,Old Vine Selection,Rosé,Lebanon,Bekaa Valley,Merlot,2005,12.0,1L,High
181,Patchwork,White,Germany,Mosel,Sauvignon Blanc,2020,11.8,0.75L,Low
182,Steeple Jack,Rosé,Romania,Dealu Mare,Pinot Noir,2011,14.6,1L,Medium
183,Rocim,Red,Australia,Barossa Valley,Malbec,2012,13.4,1.5L,High
184,Wetzel Family Estate,Rosé,Argentina,Salta,Malbec,2007,15.1,1.5L,Low
185,Private Reserve,Rosé,Lebanon,Mount Lebanon,Chardonnay,2020,14.9,0.75L,Low
186,Old Vine Selection,Rosé,Austria,Kamptal,Chardonnay,2018,11.3,0.75L,Medium
187,Family Estate Estate,Sparkling,South Africa,Swartland,Tempranillo,2016,12.3,0.75L,Low
188,Vigna Broglio,Red,Chile,Casablanca Valley,Chardonnay,2009,11.7,0.75L,High
189,Soul Patch,Rosé,France,Champagne,Chardonnay,2000,13.9,1.5L,Low
190,Vigna del Lago,Dessert,France,Provence,Fetească Neagră,2015,12.0,0.75L,Medium
191,Founders Reserve Estate,Rosé,South Africa,Stellenbosch,Pinot Noir,2002,12.2,0.75L,High
192,Artisan Series Reserve,Sparkling,South Africa,Swartland,Fetească Neagră,2017,13.2,0.75L,Medium
193,Private Reserve Reserve,Dessert,New Zealand,Hawke's Bay,Tempranillo,2007,12.1,1L,Premium
194,Classic Reserve Selection,Dessert,Hungary,Szekszárd,Merlot,2018,14.9,1.5L,High
195,River's,White,USA,Napa Valley,Pinot Noir,2016,13.7,1L,Premium
196,Cuvée Icône du Château de Mercuès,Rosé,Spain,Ribera del Duero,Chardonnay,2010,15.3,1.5L,High
197,Family Estate Selection,Red,Austria,Kamptal,Sauvignon Blanc,2002,11.4,1.5L,Low
198,Estate Reserve Reserve,Rosé,South Africa,Constantia,Malbec,2008,12.2,1L,High
199,Estate Reserve Reserve,Red,Hungary,Tokaj,Fetească Neagră,2012,13.5,1L,Premium
200,Icon Wine Selection,Dessert,Greece,Crete,Pinot Noir,2004,14.9,1.5L,Premium
201,Noble Reserve Estate,Rosé,Bulgaria,Danube Plain,Pinot Noir,2023,15.2,0.75L,Medium
202,Lumiere du Fleur,Red,Argentina,Mendoza,Sauvignon Blanc,2007,13.2,0.75L,Medium
203,Équinoxe,Sparkling,Australia,Hunter Valley,Cabernet Sauvignon,2013,12.4,0.75L,Premium
204,Château Selection Reserve,Red,South Africa,Paarl,Pinot Noir,2010,13.4,1L,Medium
205,Vigna di Pianrosso Santa Caterina d'Oro Riserva,Red,Chile,Casablanca Valley,Chardonnay,2021,15.3,1L,High
206,Grand Reserve Selection,Red,Lebanon,Mount Lebanon,Tempranillo,2006,15.1,0.75L,Premium
207,Limited Edition Reserve,Sparkling,South Africa,Paarl,Chardonnay,2014,13.4,1.5L,High
208,Family Estate Cuvée,Sparkling,South Africa,Constantia,Merlot,2005,12.7,1L,Medium
209,Artisan Series Cuvée,Sparkling,Canada,British Columbia,Sauvignon Blanc,2001,13.4,1.5L,Medium
210,Master Selection Reserve,Rosé,Uruguay,Colonia,Sauvignon Blanc,2016,14.4,1L,Low
211,Meshach,Red,Australia,Hunter Valley,Riesling,2016,11.3,1L,Medium
212,Estate Reserve Selection,Red,Canada,Okanagan Valley,Tempranillo,2001,12.1,0.75L,Premium
213,Cellar Reserve,White,New Zealand,Hawke's Bay,Tempranillo,2012,12.6,1.5L,Low
214,Vespres,Rosé,Germany,Mosel,Sauvignon Blanc,2001,15.4,1L,Medium
215,Premium Blend,Sparkling,Austria,Kamptal,Sauvignon Blanc,2002,11.4,1L,High
216,Single Vineyard,Sparkling,Austria,Burgenland,Syrah,2007,15.3,0.75L,Premium
217,Meritage Red Wine,Rosé,Australia,Barossa Valley,Fetească Neagră,2007,14.7,0.75L,Low
218,Estate Reserve Reserve,Sparkling,Slovenia,Posavje,Sauvignon Blanc,2000,12.9,1L,High
219,Single Vineyard Estate,Rosé,New Zealand,Marlborough,Syrah,2012,14.0,1L,Medium
220,Founders Reserve Estate,Dessert,Bulgaria,Danube Plain,Malbec,2000,14.9,1L,Premium
221,Block M Estate,Rosé,Australia,Barossa Valley,Tempranillo,2001,12.0,1.5L,High
222,Artisan Series Reserve,Sparkling,Bulgaria,Thracian Valley,Cabernet Sauvignon,2018,14.5,1.5L,Medium
223,Cellar Reserve Reserve,Rosé,South Africa,Swartland,Fetească Neagră,2020,11.1,1L,Premium
224,Signature Blend,White,Spain,Ribera del Duero,Cabernet Sauvignon,2011,11.2,0.75L,High
225,Classic Reserve Reserve,Sparkling,New Zealand,Waipara,Syrah,2021,12.9,0.75L,Low
226,Dusty,Rosé,Romania,Cotnari,Pinot Noir,2001,11.8,0.75L,Premium
227,Estate Reserve,Dessert,Uruguay,Colonia,Syrah,2015,13.7,0.75L,Medium
228,Chloe's Breeze,Red,Chile,Casablanca Valley,Cabernet Sauvignon,2017,15.1,1L,Premium
229,Château Selection Cuvée,Rosé,New Zealand,Marlborough,Pinot Noir,2011,13.0,1.5L,Medium
230,Cellar Reserve Reserve,Red,Uruguay,Colonia,Merlot,2007,11.2,0.75L,High
231,Icon Wine Selection,Red,Uruguay,Colonia,Sauvignon Blanc,2001,12.3,0.75L,Low
232,Founders Reserve Selection,Red,New Zealand,Marlborough,Chardonnay,2004,13.7,0.75L,High
233,Scarrone Vigna Vecchia,Rosé,USA,Sonoma,Tempranillo,2022,14.1,1.5L,Medium
234,B de Belcier,Sparkling,Romania,Murfatlar,Cabernet Sauvignon,2022,13.9,1.5L,Medium
235,Estate Reserve,White,Lebanon,Bekaa Valley,Tempranillo,2013,13.0,1.5L,Low
236,Icon Wine Estate,Rosé,Austria,Wachau,Pinot Noir,2010,12.2,1L,High
237,Lot 360,Sparkling,Romania,Murfatlar,Riesling,2022,15.4,1L,High
238,Premium Blend Cuvée,Red,Canada,British Columbia,Sauvignon Blanc,2014,14.1,1.5L,Low
239,Sciara,Dessert,Chile,Casablanca Valley,Riesling,2005,11.9,0.75L,Medium
240,Noble Reserve Cuvée,Dessert,Hungary,Tokaj,Sauvignon Blanc,2020,13.2,1.5L,Low
241,Master Selection Cuvée,Dessert,South Africa,Swartland,Fetească Neagră,2015,11.7,1L,High
242,Barrel Selection Reserve,Rosé,South Africa,Constantia,Pinot Noir,2001,11.9,1.5L,Premium
243,Premier,Red,Portugal,Douro,Syrah,2018,14.2,1L,Premium
244,IV Sons,Red,Australia,Barossa Valley,Fetească Neagră,2017,12.3,0.75L,High
245,Tinta de Toro,Red,Italy,Piedmont,Riesling,2004,14.7,1L,Premium
246,Limited Edition,Red,Canada,Niagara Peninsula,Riesling,2010,15.2,1.5L,Low
247,Old Vine,Rosé,New Zealand,Central Otago,Fetească Neagră,2020,14.1,0.75L,Low
248,Noble Reserve Reserve,White,South Africa,Constantia,Chardonnay,2001,15.0,1.5L,Premium
249,Mariana Branco,Dessert,Romania,Dealu Mare,Riesling,2021,12.3,1L,Premium
250,Grand Reserve Estate,Sparkling,Austria,Kamptal,Malbec,2004,14.2,0.75L,High
251,Vintage Collection Estate,Dessert,Austria,Kamptal,Pinot Noir,2017,12.0,1L,High
252,Grand Cru Selection,White,Hungary,Eger,Merlot,2021,11.8,1.5L,High
253,Noble Reserve Selection,Sparkling,Lebanon,Mount Lebanon,Tempranillo,2020,14.8,0.75L,Low
254,Noble Reserve,Dessert,Lebanon,Bekaa Valley,Pinot Noir,2019,14.1,1.5L,High
255,Firehouse,Red,Italy,Tuscany,Tempranillo,2003,14.3,1.5L,Premium
256,Icon Wine Selection,Rosé,Canada,Okanagan Valley,Chardonnay,2017,15.1,1.5L,Medium
257,Millesimato Eliseo Bisol Cuvée del Fondatore Talento Metodo Classico,Dessert,Argentina,Salta,Syrah,2019,14.3,1L,Low
258,Icon Wine,Red,Israel,Negev,Merlot,2019,13.7,1L,Premium
259,Prestige Collection Estate,Rosé,Israel,Negev,Fetească Neagră,2019,13.0,1L,Premium
260,Special Cuvée Reserve,White,South Africa,Paarl,Fetească Neagră,2015,11.4,1L,Low
261,Alouette,White,Italy,Piedmont,Pinot Noir,2007,14.1,1.5L,Premium
262,Sauvignon de Seguin,Rosé,USA,Napa Valley,Syrah,2015,11.6,1.5L,Low
263,Cellar Reserve Cuvée,Red,Mexico,Valle de Guadalupe,Cabernet Sauvignon,2010,15.3,1L,Low
264,Signature Series Cuvée,Sparkling,Greece,Crete,Chardonnay,2005,12.8,1L,High
265,Limited Edition Selection,Rosé,Lebanon,Bekaa Valley,Sauvignon Blanc,2010,13.5,0.75L,Medium
266,Lot 807 Reserve,Dessert,Italy,Sicily,Chardonnay,2016,13.0,0.75L,Premium
267,Oliver Hill Estate Vineyards,Dessert,France,Bordeaux,Syrah,2009,11.5,1L,Medium
268,Gran Cuvée Satén,Red,Romania,Dealu Mare,Fetească Neagră,2006,14.9,1.5L,Premium
269,Vintage Collection Estate,Rosé,New Zealand,Central Otago,Fetească Neagră,2020,14.1,1L,Low
270,President's Blend,Dessert,Spain,Catalonia,Syrah,2003,12.6,0.75L,Medium
271,Estate Reserve Reserve,Rosé,South Africa,Swartland,Riesling,2023,13.8,0.75L,Premium
272,Icon Wine Selection,Red,South Africa,Constantia,Malbec,2017,12.6,0.75L,High
273,Estate Reserve Estate,Red,Greece,Nemea,Cabernet Sauvignon,2021,14.0,1.5L,Medium
274,Founders Reserve Cuvée,White,New Zealand,Waipara,Riesling,2016,14.2,1.5L,High
275,Grand Cru,Rosé,Brazil,Vale dos Vinhedos,Riesling,2013,14.5,1L,Medium
276,Seascape Vineyard,Sparkling,Chile,Maipo Valley,Chardonnay,2013,14.1,0.75L,Low
277,Domaine Virginie Thunevin,Sparkling,Germany,Rheingau,Pinot Noir,2014,12.2,0.75L,Premium
278,Château Selection Cuvée,Sparkling,Canada,Niagara Peninsula,Fetească Neagră,2015,13.0,1.5L,Premium
